time,position,velocity,setpoint,output
0.0000,0.514111,1.022488,2.000000,12.000000
0.0200,0.533196,1.061921,2.000000,12.000000
0.0400,0.552146,1.063635,2.000000,12.000000
0.0600,0.570062,1.063713,2.000000,12.000000
0.0800,0.590382,1.063718,2.000000,12.000000
0.1000,0.611657,1.063718,2.000000,12.000000
0.1200,0.632931,1.063718,2.000000,12.000000
0.1400,0.654206,1.063718,2.000000,12.000000
0.1600,0.676435,1.063717,2.000000,12.000000
0.1800,0.699097,1.063717,2.000000,12.000000
0.2000,0.721908,1.063717,2.000000,12.000000
0.2200,0.744772,1.063717,2.000000,12.000000
0.2400,0.767654,1.063717,2.000000,12.000000
0.2600,0.790543,1.063717,2.000000,12.000000
0.2800,0.813435,1.063717,2.000000,12.000000
0.3000,0.836328,1.063717,2.000000,12.000000
0.3200,0.859221,1.063717,2.000000,12.000000
0.3400,0.882114,1.063717,2.000000,12.000000
0.3600,0.905007,1.063717,2.000000,12.000000
0.3800,0.927900,1.063717,2.000000,12.000000
0.4000,0.950793,1.063717,2.000000,12.000000
0.4200,0.973686,1.063717,2.000000,12.000000
0.4400,0.996579,1.063717,2.000000,12.000000
0.4600,1.019473,1.063717,2.000000,12.000000
0.4800,1.042366,1.063717,2.000000,12.000000
0.5000,1.065259,1.063717,2.000000,12.000000
0.5200,1.088152,1.063717,2.000000,12.000000
0.5400,1.111045,1.063717,2.000000,12.000000
0.5600,1.133938,1.063717,2.000000,12.000000
0.5800,1.156832,1.063717,2.000000,12.000000
0.6000,1.179725,1.063717,2.000000,12.000000
0.6200,1.202618,1.063717,2.000000,12.000000
0.6400,1.225511,1.063717,2.000000,12.000000
0.6600,1.248404,1.063717,2.000000,12.000000
0.6800,1.271297,1.063717,2.000000,12.000000
0.7000,1.294191,1.063717,2.000000,12.000000
0.7200,1.317084,1.063717,2.000000,12.000000
0.7400,1.339977,1.063717,2.000000,12.000000
0.7600,1.362870,1.063717,2.000000,12.000000
0.7800,1.385763,1.063717,2.000000,12.000000
0.8000,1.408656,1.063717,2.000000,12.000000
0.8200,1.431550,1.063717,2.000000,12.000000
0.8400,1.454443,1.063717,2.000000,12.000000
0.8600,1.477336,1.063717,2.000000,12.000000
0.8800,1.500229,1.063717,2.000000,12.000000
0.9000,1.523122,1.063717,2.000000,12.000000
0.9200,1.546015,1.063717,2.000000,12.000000
0.9400,1.568908,1.063717,2.000000,12.000000
0.9600,1.591802,1.063717,2.000000,12.000000
0.9800,1.614695,1.063717,2.000000,12.000000
1.0000,1.637588,1.063717,2.000000,12.000000
1.0200,1.660481,1.063717,2.000000,12.000000
1.0400,1.683374,1.063717,2.000000,12.000000
1.0600,1.706267,1.063717,2.000000,12.000000
1.0800,1.729161,1.063717,2.000000,12.000000
1.1000,1.752054,1.063717,2.000000,12.000000
1.1200,1.774947,1.063717,2.000000,12.000000
1.1400,1.797840,1.063717,2.000000,12.000000
1.1600,1.820733,1.063717,2.000000,12.000000
1.1800,1.843626,1.063717,2.000000,12.000000
1.2000,1.866520,1.063717,2.000000,12.000000
1.2200,1.889413,1.063717,2.000000,12.000000
1.2400,1.912306,1.063717,2.000000,12.000000
1.2600,1.935199,1.063717,2.000000,12.000000
1.2800,1.952693,0.910311,2.000000,10.285155
1.3000,1.966389,0.669685,2.000000,7.672654
1.3200,1.976187,0.476900,2.000000,5.627434
1.3400,1.983162,0.337917,2.000000,4.164274
1.3600,1.988055,0.239095,2.000000,3.122617
1.3800,1.991498,0.169669,2.000000,2.391967
1.4000,1.993951,0.120730,2.000000,1.877898
1.4200,1.995676,0.085957,2.000000,1.511500
1.4400,1.996921,0.061383,2.000000,1.253870
1.4600,1.997799,0.043750,2.000000,1.067995
1.4800,1.998417,0.031300,2.000000,0.936926
1.5000,1.998869,0.022473,2.000000,0.844577
1.5200,1.999189,0.016072,2.000000,0.777087
1.5400,1.999415,0.011531,2.000000,0.729291
1.5600,1.999576,0.008320,2.000000,0.695505
1.5800,1.999696,0.006023,2.000000,0.671568
1.6000,1.999781,0.004326,2.000000,0.653664
1.6200,1.999842,0.003114,2.000000,0.640903
1.6400,1.999885,0.002253,2.000000,0.631845
1.6600,1.999916,0.001640,2.000000,0.625404
1.6800,1.999939,0.001197,2.000000,0.620808
1.7000,1.999957,0.000861,2.000000,0.617256
1.7200,1.999969,0.000618,2.000000,0.614703
1.7400,1.999977,0.000446,2.000000,0.612888
1.7600,1.999983,0.000323,2.000000,0.611598
1.7800,1.999988,0.000235,2.000000,0.610678
1.8000,1.999991,0.000173,2.000000,0.610019
1.8200,1.999993,0.000127,2.000000,0.609546
1.8400,1.999995,0.000093,2.000000,0.609190
1.8600,1.999997,0.000067,2.000000,0.608914
1.8800,1.999998,0.000047,2.000000,0.608706
1.9000,1.999998,0.000033,2.000000,0.608558
1.9200,1.999999,0.000023,2.000000,0.608454
1.9400,1.999999,0.000016,2.000000,0.608381
1.9600,1.999999,0.000011,2.000000,0.608330
1.9800,2.000000,0.000008,2.000000,0.608294
2.0000,2.000000,0.000006,2.000000,0.608269
2.0200,2.000000,0.000004,2.000000,0.608252
2.0400,2.000000,0.000003,2.000000,0.608240
2.0600,2.000000,0.000002,2.000000,0.608231
2.0800,2.000000,0.000002,2.000000,0.608225
2.1000,2.000000,0.000002,2.000000,0.608221
2.1200,2.000000,0.000001,2.000000,0.608218
2.1400,2.000000,0.000001,2.000000,0.608216
2.1600,2.000000,0.000001,2.000000,0.608215
2.1800,2.000000,0.000001,2.000000,0.608214
2.2000,2.000000,0.000001,2.000000,0.608213
2.2200,2.000000,0.000001,2.000000,0.608212
2.2400,2.000000,0.000001,2.000000,0.608212
2.2600,2.000000,0.000001,2.000000,0.608212
2.2800,2.000000,0.000001,2.000000,0.608212
2.3000,2.000000,0.000001,2.000000,0.608212
2.3200,2.000000,0.000001,2.000000,0.608212
