time,position,velocity,setpoint,output
0.0000,0.514111,1.022488,2.000000,12.000000
0.0200,0.533196,1.061921,2.000000,12.000000
0.0400,0.552146,1.063635,2.000000,12.000000
0.0600,0.570062,1.063713,2.000000,12.000000
0.0800,0.590382,1.063718,2.000000,12.000000
0.1000,0.611657,1.063718,2.000000,12.000000
0.1200,0.632931,1.063718,2.000000,12.000000
0.1400,0.654206,1.063718,2.000000,12.000000
0.1600,0.676435,1.063717,2.000000,12.000000
0.1800,0.699097,1.063717,2.000000,12.000000
0.2000,0.721908,1.063717,2.000000,12.000000
0.2200,0.744772,1.063717,2.000000,12.000000
0.2400,0.767654,1.063717,2.000000,12.000000
0.2600,0.790543,1.063717,2.000000,12.000000
0.2800,0.813435,1.063717,2.000000,12.000000
0.3000,0.836328,1.063717,2.000000,12.000000
0.3200,0.859221,1.063717,2.000000,12.000000
0.3400,0.882114,1.063717,2.000000,12.000000
0.3600,0.905007,1.063717,2.000000,12.000000
0.3800,0.927900,1.063717,2.000000,12.000000
0.4000,0.950793,1.063717,2.000000,12.000000
0.4200,0.973686,1.063717,2.000000,12.000000
0.4400,0.996579,1.063717,2.000000,12.000000
0.4600,1.019473,1.063717,2.000000,12.000000
0.4800,1.042366,1.063717,2.000000,12.000000
0.5000,1.065259,1.063717,2.000000,12.000000
0.5200,1.088152,1.063717,2.000000,12.000000
0.5400,1.111045,1.063717,2.000000,12.000000
0.5600,1.133938,1.063717,2.000000,12.000000
0.5800,1.156832,1.063717,2.000000,12.000000
0.6000,1.179725,1.063717,2.000000,12.000000
0.6200,1.202618,1.063717,2.000000,12.000000
0.6400,1.225511,1.063717,2.000000,12.000000
0.6600,1.248404,1.063717,2.000000,12.000000
0.6800,1.271297,1.063717,2.000000,12.000000
0.7000,1.294191,1.063717,2.000000,12.000000
0.7200,1.317084,1.063717,2.000000,12.000000
0.7400,1.339977,1.063717,2.000000,12.000000
0.7600,1.362870,1.063717,2.000000,12.000000
0.7800,1.385763,1.063717,2.000000,12.000000
0.8000,1.408656,1.063717,2.000000,12.000000
0.8200,1.431550,1.063717,2.000000,12.000000
0.8400,1.454443,1.063717,2.000000,12.000000
0.8600,1.477336,1.063717,2.000000,12.000000
0.8800,1.500229,1.063717,2.000000,12.000000
0.9000,1.523122,1.063717,2.000000,12.000000
0.9200,1.546015,1.063717,2.000000,12.000000
0.9400,1.568908,1.063717,2.000000,12.000000
0.9600,1.591802,1.063717,2.000000,12.000000
0.9800,1.614695,1.063717,2.000000,12.000000
1.0000,1.637588,1.063717,2.000000,12.000000
1.0200,1.660481,1.063717,2.000000,12.000000
1.0400,1.683374,1.063717,2.000000,12.000000
1.0600,1.706267,1.063717,2.000000,12.000000
1.0800,1.729161,1.063717,2.000000,12.000000
1.1000,1.752054,1.063717,2.000000,12.000000
1.1200,1.774947,1.063717,2.000000,12.000000
1.1400,1.797840,1.063717,2.000000,12.000000
1.1600,1.820733,1.063717,2.000000,12.000000
1.1800,1.843626,1.063717,2.000000,12.000000
1.2000,1.866520,1.063717,2.000000,12.000000
1.2200,1.889413,1.063717,2.000000,12.000000
1.2400,1.912306,1.063717,2.000000,12.000000
1.2600,1.935199,1.063717,2.000000,12.000000
1.2800,1.958092,1.063717,2.000000,12.000000
1.3000,1.980985,1.063717,2.000000,12.000000
1.3200,2.003879,1.063717,2.000000,12.000000
1.3400,2.001873,-0.531433,2.000000,-5.762956
1.3600,1.995162,-0.297102,2.000000,-2.468631
1.3800,2.003343,0.701780,2.000000,8.556119
1.4000,2.000420,-0.466271,2.000000,-4.883912
1.4200,1.996980,-0.080368,2.000000,-0.081240
1.4400,2.002595,0.441402,2.000000,5.568335
1.4600,1.999805,-0.364981,2.000000,-3.654173
1.4800,1.998166,0.014136,2.000000,0.928118
1.5000,2.001935,0.270662,2.000000,3.620729
1.5200,1.999550,-0.274144,2.000000,-2.569880
1.5400,1.998925,0.055165,2.000000,1.347482
1.5600,2.001356,0.160300,2.000000,2.373692
1.5800,1.999529,-0.193161,2.000000,-1.618643
1.6000,1.999402,0.061699,2.000000,1.382193
1.6200,2.000903,0.090448,2.000000,1.590829
1.6400,1.999600,-0.129316,2.000000,-0.875739
1.6600,1.999675,0.053523,2.000000,1.265445
1.6800,2.000566,0.050026,2.000000,1.142027
1.7000,1.999715,-0.081202,2.000000,-0.320879
1.7200,1.999830,0.038567,2.000000,1.076025
1.7400,2.000362,0.026662,2.000000,0.887507
1.7600,1.999804,-0.052018,2.000000,0.013354
1.7800,1.999897,0.026469,2.000000,0.929373
1.8000,2.000241,0.016301,2.000000,0.777684
1.8200,1.999859,-0.034679,2.000000,0.212697
1.8400,1.999943,0.019216,2.000000,0.839344
1.8600,2.000159,0.009164,2.000000,0.701361
1.8800,1.999906,-0.022830,2.000000,0.347656
1.9000,1.999960,0.012764,2.000000,0.762511
1.9200,2.000106,0.006388,2.000000,0.673387
1.9400,1.999935,-0.015348,2.000000,0.433328
1.9600,1.999977,0.008870,2.000000,0.714771
1.9800,2.000070,0.003833,2.000000,0.646620
2.0000,1.999959,-0.010001,2.000000,0.494007
2.0200,1.999982,0.005555,2.000000,0.675554
2.0400,2.000047,0.002906,2.000000,0.638005
2.0600,1.999972,-0.006814,2.000000,0.530530
2.0800,1.999987,0.003837,2.000000,0.654831
2.1000,2.000032,0.002009,2.000000,0.628789
2.1200,1.999982,-0.004655,2.000000,0.554991
2.1400,1.999991,0.002473,2.000000,0.638265
2.1600,2.000021,0.001440,2.000000,0.623060
2.1800,1.999990,-0.003018,2.000000,0.573509
2.2000,1.999992,0.001360,2.000000,0.625115
2.2200,2.000014,0.001204,2.000000,0.621021
2.2400,1.999995,-0.001971,2.000000,0.585313
2.2600,1.999994,0.000617,2.000000,0.616098
2.2800,2.000009,0.000977,2.000000,0.618852
2.3000,1.999997,-0.001318,2.000000,0.592945
