time,position,velocity,setpoint,output
0.0000,0.514111,1.022488,2.000000,12.000000
0.0200,0.533196,1.061921,2.000000,12.000000
0.0400,0.552146,1.063635,2.000000,12.000000
0.0600,0.570062,1.063713,2.000000,12.000000
0.0800,0.590382,1.063718,2.000000,12.000000
0.1000,0.611657,1.063718,2.000000,12.000000
0.1200,0.632931,1.063718,2.000000,12.000000
0.1400,0.654206,1.063718,2.000000,12.000000
0.1600,0.676435,1.063717,2.000000,12.000000
0.1800,0.699097,1.063717,2.000000,12.000000
0.2000,0.721908,1.063717,2.000000,12.000000
0.2200,0.744772,1.063717,2.000000,12.000000
0.2400,0.767654,1.063717,2.000000,12.000000
0.2600,0.790543,1.063717,2.000000,12.000000
0.2800,0.813435,1.063717,2.000000,12.000000
0.3000,0.836328,1.063717,2.000000,12.000000
0.3200,0.859221,1.063717,2.000000,12.000000
0.3400,0.882114,1.063717,2.000000,12.000000
0.3600,0.905007,1.063717,2.000000,12.000000
0.3800,0.927900,1.063717,2.000000,12.000000
0.4000,0.950793,1.063717,2.000000,12.000000
0.4200,0.973686,1.063717,2.000000,12.000000
0.4400,0.996579,1.063717,2.000000,12.000000
0.4600,1.019473,1.063717,2.000000,12.000000
0.4800,1.042366,1.063717,2.000000,12.000000
0.5000,1.065259,1.063717,2.000000,12.000000
0.5200,1.088152,1.063717,2.000000,12.000000
0.5400,1.111045,1.063717,2.000000,12.000000
0.5600,1.133938,1.063717,2.000000,12.000000
0.5800,1.156832,1.063717,2.000000,12.000000
0.6000,1.179725,1.063717,2.000000,12.000000
0.6200,1.202618,1.063717,2.000000,12.000000
0.6400,1.225511,1.063717,2.000000,12.000000
0.6600,1.248404,1.063717,2.000000,12.000000
0.6800,1.271297,1.063717,2.000000,12.000000
0.7000,1.294191,1.063717,2.000000,12.000000
0.7200,1.317084,1.063717,2.000000,12.000000
0.7400,1.339977,1.063717,2.000000,12.000000
0.7600,1.362870,1.063717,2.000000,12.000000
0.7800,1.385763,1.063717,2.000000,12.000000
0.8000,1.408656,1.063717,2.000000,12.000000
0.8200,1.431550,1.063717,2.000000,12.000000
0.8400,1.454443,1.063717,2.000000,12.000000
0.8600,1.477336,1.063717,2.000000,12.000000
0.8800,1.500229,1.063717,2.000000,12.000000
0.9000,1.523122,1.063717,2.000000,12.000000
0.9200,1.546015,1.063717,2.000000,12.000000
0.9400,1.568908,1.063717,2.000000,12.000000
0.9600,1.591802,1.063717,2.000000,12.000000
0.9800,1.614695,1.063717,2.000000,12.000000
1.0000,1.637588,1.063717,2.000000,12.000000
1.0200,1.660481,1.063717,2.000000,12.000000
1.0400,1.683374,1.063717,2.000000,12.000000
1.0600,1.706267,1.063717,2.000000,12.000000
1.0800,1.729161,1.063717,2.000000,12.000000
1.1000,1.752054,1.063717,2.000000,12.000000
1.1200,1.774947,1.063717,2.000000,12.000000
1.1400,1.797840,1.063717,2.000000,12.000000
1.1600,1.820733,1.063717,2.000000,12.000000
1.1800,1.843626,1.063717,2.000000,12.000000
1.2000,1.866520,1.063717,2.000000,12.000000
1.2200,1.889413,1.063717,2.000000,12.000000
1.2400,1.912306,1.063717,2.000000,12.000000
1.2600,1.935199,1.063717,2.000000,12.000000
1.2800,1.958092,1.063717,2.000000,12.000000
1.3000,1.980985,1.063717,2.000000,12.000000
1.3200,2.003879,1.063717,2.000000,12.000000
1.3400,2.005864,-0.244464,2.000000,-2.577372
1.3600,1.998670,-0.441365,2.000000,-4.208311
1.3800,1.997550,0.080290,2.000000,1.700988
1.4000,2.000415,0.183457,2.000000,2.620876
1.4200,2.001021,-0.023058,2.000000,0.267594
1.4400,1.999891,-0.075983,2.000000,-0.230455
1.4600,1.999576,0.004782,2.000000,0.698063
1.4800,2.000018,0.031358,2.000000,0.956608
1.5000,2.000174,0.000079,2.000000,0.593303
1.5200,2.000010,-0.012753,2.000000,0.464983
1.5400,1.999930,-0.001359,2.000000,0.599672
1.5600,1.999989,0.005047,2.000000,0.665509
1.5800,2.000027,0.001037,2.000000,0.617143
1.6000,2.000008,-0.001922,2.000000,0.586015
1.6200,1.999990,-0.000659,2.000000,0.601831
1.6400,1.999996,0.000702,2.000000,0.616454
1.6600,2.000004,0.000349,2.000000,0.611771
1.6800,2.000002,-0.000248,2.000000,0.605190
1.7000,1.999999,-0.000185,2.000000,0.606273
1.7200,1.999999,0.000066,2.000000,0.609046
1.7400,2.000000,0.000082,2.000000,0.609102
1.7600,2.000000,-0.000024,2.000000,0.607886
1.7800,2.000000,-0.000037,2.000000,0.607805
1.8000,2.000000,0.000009,2.000000,0.608335
1.8200,2.000000,0.000017,2.000000,0.608394
1.8400,2.000000,-0.000003,2.000000,0.608165
1.8600,2.000000,-0.000007,2.000000,0.608137
1.8800,2.000000,0.000001,2.000000,0.608231
1.9000,2.000000,0.000002,2.000000,0.608241
1.9200,2.000000,-0.000001,2.000000,0.608202
1.9400,2.000000,-0.000001,2.000000,0.608201
1.9600,2.000000,0.000000,2.000000,0.608217
1.9800,2.000000,0.000000,2.000000,0.608212
2.0000,2.000000,0.000000,2.000000,0.608211
2.0200,2.000000,0.000000,2.000000,0.608212
2.0400,2.000000,0.000000,2.000000,0.608212
2.0600,2.000000,0.000001,2.000000,0.608212
2.0800,2.000000,0.000001,2.000000,0.608212
2.1000,2.000000,0.000001,2.000000,0.608212
2.1200,2.000000,0.000001,2.000000,0.608211
2.1400,2.000000,0.000001,2.000000,0.608211
2.1600,2.000000,0.000001,2.000000,0.608212
2.1800,2.000000,0.000001,2.000000,0.608212
2.2000,2.000000,0.000001,2.000000,0.608212
2.2200,2.000000,0.000001,2.000000,0.608212
2.2400,2.000000,0.000001,2.000000,0.608212
2.2600,2.000000,0.000001,2.000000,0.608212
2.2800,2.000000,0.000001,2.000000,0.608212
2.3000,2.000000,0.000001,2.000000,0.608212
